,T cell,B cell,Macrophage,Granulocyte,Blood vessel,Stroma,Other
"('cell', 398)",0,0,0,1,0,0,0
"('cell', 465)",0,0,0,1,0,0,0
"('cell', 421)",0,0,0,1,0,0,0
"('cell', 393)",0,0,0,1,0,0,0
"('cell', 175)",0,0,1,1,0,0,0
"('cell', 69)",0,0,0,0,1,2,0
"('cell', 28)",0,0,0,0,1,2,0
"('cell', 44)",0,0,0,0,1,2,0
"('cell', 30)",0,0,0,0,0,1,1
"('cell', 63)",0,0,0,0,1,2,0
"('cell', 1440)",0,0,0,0,0,1,0
"('cell', 1400)",0,0,0,0,0,1,0
"('cell', 1503)",0,0,2,0,0,2,0
"('cell', 1483)",0,0,1,0,0,2,0
"('cell', 1526)",0,0,2,0,2,2,0
"('cell', 1453)",0,0,2,0,0,1,0
"('cell', 2094)",0,0,4,0,1,3,0
"('cell', 2061)",0,0,5,0,3,0,0
"('cell', 2285)",0,0,2,0,0,12,1
"('cell', 2305)",0,0,2,0,0,11,1
"('cell', 1996)",0,0,0,0,0,2,0
"('cell', 1660)",0,0,0,0,0,1,0
"('cell', 1585)",0,0,0,0,1,1,0
"('cell', 1552)",0,0,0,0,1,1,0
"('cell', 1554)",0,0,0,0,1,1,0
"('cell', 1579)",0,0,0,0,0,1,0
"('cell', 1622)",0,0,0,0,0,1,0
"('cell', 1712)",0,0,0,0,0,2,0
"('cell', 1904)",0,0,0,0,0,2,0
"('cell', 1827)",0,0,0,0,0,4,0
"('cell', 1760)",0,0,0,0,0,2,0
"('cell', 1871)",0,0,0,0,0,2,0
"('cell', 1766)",0,0,0,0,0,1,0
"('cell', 1755)",0,0,1,0,0,5,0
"('cell', 1537)",0,0,0,0,1,5,0
"('cell', 1501)",0,0,0,1,2,3,0
"('cell', 1342)",0,0,2,1,3,1,0
"('cell', 807)",0,0,0,0,1,0,0
"('cell', 813)",0,0,0,0,1,0,0
"('cell', 1108)",0,1,0,0,5,2,0
"('cell', 1255)",0,0,3,1,3,1,0
"('cell', 1094)",0,0,1,0,0,0,0
"('cell', 955)",0,0,0,0,2,1,0
"('cell', 860)",0,0,0,0,1,2,0
"('cell', 921)",0,0,0,0,0,1,0
"('cell', 766)",0,0,2,0,3,0,0
"('cell', 812)",0,0,1,0,2,0,0
"('cell', 982)",0,0,1,0,0,0,0
"('cell', 913)",0,0,2,0,0,0,0
"('cell', 956)",0,0,2,1,0,1,0
"('cell', 1048)",0,0,1,1,0,0,0
"('cell', 998)",0,0,1,1,0,0,0
"('cell', 1040)",0,0,2,1,0,0,0
"('cell', 700)",0,0,3,0,2,1,0
"('cell', 301)",0,0,0,0,1,0,0
"('cell', 328)",0,0,1,0,1,0,0
"('cell', 375)",0,0,1,0,1,0,0
"('cell', 389)",0,0,2,0,0,0,0
"('cell', 636)",0,1,2,0,0,0,0
"('cell', 585)",0,1,2,0,0,0,0
"('cell', 672)",0,2,3,0,0,0,0
"('cell', 717)",0,1,3,0,0,1,0
"('cell', 985)",0,1,0,0,0,0,0
"('cell', 960)",0,1,0,0,0,0,0
"('cell', 1011)",0,1,0,0,0,0,0
"('cell', 1031)",0,1,1,0,0,0,0
"('cell', 1000)",0,0,2,0,0,0,0
"('cell', 891)",0,0,1,0,0,0,0
"('cell', 852)",0,0,1,0,0,0,0
"('cell', 653)",0,0,3,0,0,4,1
"('cell', 1293)",0,0,1,0,0,0,0
"('cell', 1237)",0,0,1,0,0,0,0
"('cell', 1196)",0,0,1,0,0,4,0
"('cell', 1323)",0,0,1,0,0,0,0
"('cell', 1771)",0,0,1,0,0,1,0
"('cell', 1676)",0,0,0,0,0,1,0
"('cell', 1662)",0,0,0,0,0,1,0
"('cell', 1737)",0,0,1,0,0,1,0
"('cell', 1381)",0,0,0,2,0,0,0
"('cell', 1345)",0,0,0,2,0,0,0
"('cell', 1801)",0,0,1,0,0,1,0
"('cell', 1727)",0,0,0,2,0,0,0
"('cell', 1701)",0,0,0,1,0,0,0
"('cell', 1775)",0,0,0,1,0,0,0
"('cell', 1950)",0,0,2,0,0,0,0
"('cell', 1962)",0,0,4,0,1,1,0
"('cell', 1538)",0,0,0,0,0,1,0
"('cell', 1511)",0,1,0,0,0,0,0
"('cell', 1449)",0,1,0,0,0,0,0
"('cell', 1401)",0,1,0,0,0,0,0
"('cell', 1263)",0,1,0,0,0,0,0
"('cell', 1224)",0,1,0,0,0,0,0
"('cell', 865)",0,0,0,0,2,2,0
"('cell', 868)",0,0,1,1,2,1,0
"('cell', 419)",0,1,0,0,0,0,0
"('cell', 638)",0,0,2,0,0,0,0
"('cell', 696)",0,0,2,0,0,2,0
"('cell', 1028)",0,0,1,0,4,1,0
"('cell', 961)",0,0,0,0,3,3,0
"('cell', 1251)",0,0,0,0,1,0,0
"('cell', 1250)",0,0,1,0,1,0,0
"('cell', 1223)",0,0,0,0,1,0,0
"('cell', 810)",0,0,5,0,0,5,1
"('cell', 235)",0,0,2,1,0,4,0
"('cell', 337)",0,1,1,1,0,1,0
"('cell', 268)",0,1,5,1,0,4,0
"('cell', 160)",0,1,0,0,0,0,0
"('cell', 344)",0,1,0,0,0,0,0
"('cell', 643)",0,0,1,0,0,1,0
"('cell', 633)",0,0,3,0,0,3,1
"('cell', 647)",0,0,1,0,0,0,0
"('cell', 556)",0,0,0,0,0,2,0
"('cell', 525)",0,0,2,0,0,5,0
"('cell', 527)",0,0,1,0,0,4,0
"('cell', 599)",0,0,0,0,0,2,0
"('cell', 651)",0,0,0,0,0,2,0
"('cell', 692)",0,0,1,0,0,2,0
"('cell', 459)",0,1,1,0,1,1,0
"('cell', 512)",0,2,2,0,0,4,0
"('cell', 1986)",0,0,2,0,1,1,0
"('cell', 2027)",0,0,1,0,0,3,0
"('cell', 1900)",0,0,3,0,5,4,0
"('cell', 2018)",0,0,3,0,2,1,0
"('cell', 1851)",0,0,0,0,1,2,0
"('cell', 2035)",0,0,5,0,0,1,0
"('cell', 2039)",0,0,5,0,0,3,0
"('cell', 2068)",0,0,5,0,0,2,0
"('cell', 2155)",0,0,4,1,0,1,0
"('cell', 2165)",0,0,6,1,1,1,0
