trial,N,n,p,K,vanilla_err,vanilla_acc,splsi_err,splsi_acc,slda_err,slda_acc,time_v,time_splsi,time_slda,spatial_lambd
20,100,1000,20,3,7.406040791980176,0.871,3.5670572535613516,0.942,15.782241985553526,0.598,0.0198767185211181,45.188058614730835,83.28530502319336,0.022182364274231
21,100,1000,20,3,6.677411559955421,0.872,2.847560754324781,0.945,15.28342986436765,0.525,0.0202677249908447,50.99999713897705,82.74988794326782,0.0164313809438748
22,100,1000,20,3,6.222487245658912,0.893,3.4526121333225253,0.936,14.753454608945828,0.561,0.0200827121734619,39.12633442878723,82.5674512386322,0.0164313809438748
23,100,1000,20,3,7.608793943419209,0.861,3.0842684823754736,0.944,14.226550626274,0.581,0.0200800895690917,60.368760108947754,81.78675413131714,0.0164313809438748
24,100,1000,20,3,5.946661489802071,0.921,3.085513481255785,0.935,14.54483931795666,0.655,0.0201973915100097,29.69379711151123,82.14588952064514,0.022182364274231
25,100,1000,20,3,7.433993075914698,0.916,2.822097636420055,0.943,15.528519488716247,0.638,0.0200171470642089,35.779133319854736,80.37683057785034,0.0164313809438748
26,100,1000,20,3,6.079724376167905,0.82,3.0079757815723944,0.904,16.425454355407034,0.461,0.0202312469482421,39.11037278175354,83.00759720802307,0.0164313809438748
27,100,1000,20,3,6.861808770152806,0.881,3.0833825711226335,0.949,17.18493073098041,0.37,0.0201313495635986,30.59101629257202,82.1979923248291,0.0164313809438748
28,100,1000,20,3,7.859305309838572,0.855,3.973239305569484,0.905,15.427194836408496,0.614,0.0199143886566162,41.75772404670715,82.18432378768921,0.0121713932917591
29,100,1000,20,3,5.3313346918242,0.967,2.466507915473056,0.991,19.36175307200205,0.471,0.0199677944183349,32.23413300514221,82.75407004356384,0.022182364274231
30,100,1000,20,3,6.789984536708695,0.884,3.104143964452394,0.917,16.28459193058959,0.599,0.0202441215515136,43.82620429992676,82.42757296562195,0.0164313809438748
31,100,1000,20,3,7.317936429485156,0.902,2.9921804613794833,0.936,17.863324583793244,0.45,0.0198678970336914,52.46940302848816,81.64639830589294,0.022182364274231
32,100,1000,20,3,6.933711793119812,0.871,3.305259187491505,0.913,15.131594792473836,0.57,0.0200490951538085,41.62664842605591,83.19040417671204,0.0164313809438748
33,100,1000,20,3,6.1274278415874335,0.838,3.28988358656552,0.872,14.36239113695338,0.602,0.0200576782226562,24.76907706260681,83.39154124259949,0.022182364274231
34,100,1000,20,3,6.508739595495146,0.957,2.7090212311263557,0.976,18.784714203259167,0.51,0.0201406478881835,27.739564657211304,83.91173815727234,0.0164313809438748
35,100,1000,20,3,6.841865712584109,0.897,2.733411439458991,0.938,15.31229143226642,0.631,0.0201220512390136,45.05455994606018,81.86708354949951,0.0164313809438748
36,100,1000,20,3,6.24621050393952,0.941,2.914577169604973,0.955,15.426571123817736,0.642,0.0202019214630126,29.343284130096436,83.53586053848267,0.022182364274231
37,100,1000,20,3,5.932348217268302,0.925,2.9996766422103827,0.922,15.202250918194071,0.603,0.020167589187622,38.00418972969055,82.86951780319214,0.022182364274231
38,100,1000,20,3,6.3051000730032625,0.819,2.9465112180164432,0.846,15.339253541609,0.559,0.020235538482666,35.918785572052,85.60993814468384,0.0121713932917591
39,100,1000,20,3,6.703708128308083,0.846,2.638984553612526,0.925,15.204097081386266,0.567,0.0202023983001709,41.61011052131653,85.66350317001343,0.0164313809438748
40,100,1000,20,3,7.027757291902393,0.896,3.4406952098193946,0.943,16.154799962931044,0.629,0.0202152729034423,30.77135848999023,84.00146770477295,0.022182364274231
